product_code,product_name,category,sub_category,product_id,product_price
FUR-BO-10001798,Bush Somerset Collection Bookcase,Furniture,Bookcases,0,103.14675
FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs,1,209.41616666666667
OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,Office Supplies,Labels,2,6.683428571428571
FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables,3,256.804875
OFF-ST-10000760,Eldon Fold 'N Roll Cart System,Office Supplies,Storage,4,12.3024
FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Furniture,Furnishings,5,6.9799999999999995
OFF-AR-10002833,Newell 322,Office Supplies,Art,6,1.6986666666666668
TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,Technology,Phones,7,151.192
OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,Binders,8,5.8596
OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,Office Supplies,Appliances,9,21.666857142857143
FUR-TA-10001539,Chromcraft Rectangular Conference Tables,Furniture,Tables,10,160.61299999999997
TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,Technology,Phones,11,256.33799999999997
OFF-PA-10002365,Xerox 1967,Office Supplies,Paper,12,5.9616
OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,Office Supplies,Binders,13,115.21544444444446
OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Office Supplies,Appliances,14,54.3599
OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,Office Supplies,Binders,15,2.12
OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Office Supplies,Storage,16,110.97999999999999
OFF-ST-10000107,Fellowes Super Stor/Drawer,Office Supplies,Storage,17,26.3625
OFF-AR-10003056,Newell 341,Office Supplies,Art,18,4.1577142857142855
TEC-PH-10001949,Cisco SPA 501G IP Phone,Technology,Phones,19,71.16
OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",Office Supplies,Binders,20,6.288571428571428
OFF-AR-10000246,Newell 318,Office Supplies,Art,21,2.6688
OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",Office Supplies,Appliances,22,8.428444444444445
FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",Furniture,Chairs,23,40.05571428571428
OFF-BI-10001634,Wilson Jones Active Use Binders,Office Supplies,Binders,24,5.096
TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Technology,Accessories,25,28.177333333333333
FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,Bookcases,26,674.83068
OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,Office Supplies,Binders,27,7.557000000000001
FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,Furnishings,28,44.849999999999994
OFF-EN-10001509,Poly String Tie Envelopes,Office Supplies,Envelopes,29,1.8916363636363636
OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Office Supplies,Art,30,16.781333333333333
OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Office Supplies,Binders,31,1.666875
OFF-AR-10001683,Lumber Crayons,Office Supplies,Art,32,8.536666666666667
OFF-PA-10000249,Easy-staple paper,Office Supplies,Paper,33,11.461333333333334
TEC-PH-10004977,GE 30524EE4,Technology,Phones,34,165.50266666666667
FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Furniture,Furnishings,35,81.141
OFF-EN-10002986,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Office Supplies,Envelopes,36,14.166
FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Bookcases,37,213.024925
FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",Furniture,Chairs,38,87.516
TEC-PH-10000486,Plantronics HL10 Handset Lifter,Technology,Phones,39,92.79199999999999
TEC-PH-10004093,Panasonic Kx-TS550,Technology,Phones,40,36.791999999999994
OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",Office Supplies,Storage,41,35.60228571428571
OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Office Supplies,Storage,42,56.772
TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Technology,Accessories,43,20.231199999999998
OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,Office Supplies,Binders,44,5.674500000000001
OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Office Supplies,Storage,45,47.691
TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Technology,Accessories,46,13.875
TEC-PH-10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Technology,Phones,47,9.81
OFF-BI-10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Office Supplies,Binders,48,3.822
OFF-LA-10002762,Avery 485,Office Supplies,Labels,49,12.53
FUR-FU-10001706,Longer-Life Soft White Bulbs,Furniture,Furnishings,50,2.7104
FUR-CH-10003061,"Global Leather Task Chair, Black",Furniture,Chairs,51,77.616375
OFF-FA-10000304,Advantus Push Pins,Office Supplies,Fasteners,52,2.0554285714285716
TEC-PH-10002447,AT&T CL83451 4-Handset Telephone,Technology,Phones,53,185.39100000000002
OFF-ST-10000604,Home/Office Personal File Carts,Office Supplies,Storage,54,33.76685714285714
OFF-PA-10001569,Xerox 232,Office Supplies,Paper,55,6.156000000000001
FUR-CH-10003968,Novimex Turbo Task Chair,Furniture,Chairs,56,61.516
OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",Office Supplies,Paper,57,6.916
OFF-BI-10001460,Plastic Binding Combs,Office Supplies,Binders,58,11.211
OFF-AR-10001868,Prang Dustless Chalk Sticks,Office Supplies,Art,59,1.554
TEC-AC-10004633,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",Technology,Accessories,60,6.291
OFF-BI-10001078,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",Office Supplies,Binders,61,4.765142857142857
OFF-PA-10003892,Xerox 1943,Office Supplies,Paper,62,46.4645
FUR-FU-10000397,Luxo Economy Swing Arm Lamp,Furniture,Furnishings,63,19.94
FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",Furniture,Chairs,64,51.1476
OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Office Supplies,Art,65,139.128
TEC-PH-10002726,netTALK DUO VoIP Telephone Service,Technology,Phones,66,43.49171428571429
OFF-PA-10000482,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",Office Supplies,Paper,67,36.675333333333334
OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,Office Supplies,Binders,68,3.678375
OFF-PA-10004675,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Office Supplies,Paper,69,5.926666666666667
FUR-CH-10000513,High-Back Leather Manager's Chair,Furniture,Chairs,70,108.32499999999999
FUR-FU-10003708,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Furniture,Furnishings,71,52.56333333333333
OFF-ST-10004123,Safco Industrial Wire Shelving System,Office Supplies,Storage,72,81.882
OFF-BI-10004182,Economy Binders,Office Supplies,Binders,73,1.456
FUR-FU-10000260,"6"" Cubicle Wall Clock, Black",Furniture,Furnishings,74,6.4719999999999995
OFF-ST-10000615,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Office Supplies,Storage,75,10.49875
FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Furniture,Furnishings,76,7.72
OFF-AP-10002118,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Office Supplies,Appliances,77,194.28266666666664
OFF-BI-10002309,Avery Heavy-Duty EZD  Binder With Locking Rings,Office Supplies,Binders,78,4.3709999999999996
OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",Office Supplies,Art,79,2.7245714285714286
OFF-ST-10002370,"Sortfiler Multipurpose Personal File Organizer, Black",Office Supplies,Storage,80,19.964
OFF-EN-10000927,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Office Supplies,Envelopes,81,30.5065
OFF-ST-10003656,Safco Industrial Wire Shelving,Office Supplies,Storage,82,80.6316
FUR-CH-10000863,Novimex Swivel Fabric Task Chair,Furniture,Chairs,83,120.78399999999999
