product_code,product_name,product_type,product_subtype,product_price
CLO-MA-12315546,Hunky Trunks beach shirt in white and blue blurred spot print,clothing,Shirts,39
CLO-MA-12330396,Hunky Trunks beach shirt in red and navy paisley print,clothing,Shirts,39
CLO-MA-12907991,New Look muscle fit poplin shirt in light olive,clothing,Shirts,30
CLO-MA-12919377,New Look floral print shirt in cream,clothing,Shirts,43
CLO-MA-12919377,New Look textured check revere shirt in stone,clothing,Shirts,47
CLO-MA-12195318,ASOS DESIGN boxy oversized camp collar linen mix plaid shirt in orange,clothing,Shirts,40
CLO-MA-12209365,Jack & Jones Originals zip up twill overshirt in beige,clothing,Shirts,77
CLO-MA-12308627,ADPT oversized felted overshirt in beige,clothing,Shirts,61
CLO-MA-12312522,Another Influence paisley print beach shirt in black and white - part of a set,clothing,Shirts,28
CLO-MA-12312522,Another Influence front seam detail beach shirt in orange - part of a set,clothing,Shirts,25
CLO-MA-12315547,Hunky Trunks beach shirt in khaki swirl print,clothing,Shirts,39
CLO-MA-12416348,Polo Ralph Lauren Big & Tall icon logo pique shirt button down in dark green,clothing,Shirts,125
CLO-MA-12416646,ASOS DESIGN relaxed shirt in linen mix with face placement print,clothing,Shirts,43
CLO-MA-12564619,ASOS DESIGN oversized midweight knit cotton button up polo in black,clothing,Shirts,37
CLO-MA-12580726,ASOS DESIGN dropped shoulder oversized camp collar shirt in crinkle fabric,clothing,Shirts,36
CLO-MA-12607424,ASOS DESIGN boxy oversized eyelet shirt in tan,clothing,Shirts,50
CLO-MA-12611872,ASOS DESIGN sheer shirt with pleated front in white,clothing,Shirts,40
CLO-MA-12611873,ASOS DESIGN satin wrap kimono in navy,clothing,Shirts,46
CLO-MA-12632361,ASOS DESIGN relaxed revere shirt in burgundy and navy stripe,clothing,Shirts,32
CLO-MA-12663368,ASOS DESIGN boxy oversized shirt in mushroom print,clothing,Shirts,32
CLO-MA-12678854,ASOS DESIGN longline oversized satin shirt in copper,clothing,Shirts,36
CLO-MA-12882749,Polo Ralph Lauren icon logo stripe oxford shirt custom fit in green/pink,clothing,Shirts,125
CLO-MA-12882750,Polo Ralph Lauren icon logo check poplin shirt custom fit in orange/navy,clothing,Shirts,115
CLO-MA-12882747,Polo Ralph Lauren stripe seersucker short sleeve shirt revere collar classic fit in blue,clothing,Shirts,125
CLO-MA-12882749,Polo Ralph Lauren icon logo fun stripe oxford shirt custom fit in multi,clothing,Shirts,125
CLO-MA-12882746,Polo Ralph Lauren icon logo short sleeve pique shirt in navy,clothing,Shirts,89.5
CLO-MA-12882748,Polo Ralph Lauren icon logo short sleeve slim fit oxford shirt in yellow,clothing,Shirts,115
CLO-MA-12882746,Polo Ralph Lauren icon logo button down pique shirt in mid green,clothing,Shirts,98.5
CLO-MA-12894125,Weekday Charlie boxy fit short sleeve shirt in off-white,clothing,Shirts,63
CLO-MA-11947986,Reclaimed Vintage inspired unisex viscose revere shirt in gray,clothing,Shirts,31.9
CLO-MA-12269490,ASOS DESIGN boxy oversized linen shirt in sage green,clothing,Shirts,40
CLO-MA-12312523,Another Influence bandana print beach shirt in blue - part of a set,clothing,Shirts,28
CLO-MA-12312522,Another Influence tile print beach shirt in green - part of a set,clothing,Shirts,28
CLO-MA-12330395,Hunky Trunks beach shirt in blue floral print,clothing,Shirts,39
CLO-MA-12330395,Hunky Trunks beach shirt in green stripe,clothing,Shirts,39
CLO-MA-12330395,Hunky Trunks beach shirt in light blue stripe,clothing,Shirts,39
CLO-MA-12639471,ASOS DESIGN longline oversized satin shirt black,clothing,Shirts,36
CLO-MA-12763860,ASOS DESIGN relaxed deep revere crochet stripe shirt,clothing,Shirts,57
CLO-MA-12882749,Polo Ralph Lauren bear logo oxford shirt custom fit in light blue,clothing,Shirts,125
CLO-MA-12882746,Polo Ralph Lauren icon logo button down pique shirt in navy,clothing,Shirts,89.5
CLO-MA-12882749,Polo Ralph Lauren icon logo linen shirt custom fit in white,clothing,Shirts,125
CLO-MA-12882746,Polo Ralph Lauren icon logo button down pique shirt in pink,clothing,Shirts,98.5
CLO-MA-12882748,Polo Ralph Lauren icon logo short sleeve pique shirt in pink,clothing,Shirts,89.5
CLO-MA-12882747,Polo Ralph Lauren icon logo slim fit garment dyed oxford shirt in tan,clothing,Shirts,115
CLO-MA-12882745,Polo Ralph Lauren icon logo slim fit chambray denim shirt in light wash,clothing,Shirts,89.5
CLO-MA-12882748,Polo Ralph Lauren icon logo short sleeve slim fit oxford shirt in blue,clothing,Shirts,115
CLO-MA-11973357,Bershka relaxed shirt in yellow floral print,clothing,Shirts,39.9
CLO-MA-12132876,Barbour Beacon paneled overshirt in green,clothing,Shirts,156
CLO-MA-12576358,ASOS DESIGN oversized long sleeve t-shirt in white,clothing,T-Shirts & Tanks,21
CLO-MA-12576856,ASOS DESIGN relaxed fit t-shirt in navy,clothing,T-Shirts & Tanks,14.5
CLO-MA-12763868,New Look oversized t-shirt in gray green,clothing,T-Shirts & Tanks,15
CLO-MA-12780983,ASOS DESIGN muscle fit ribbed smart T-shirt in gray heather,clothing,T-Shirts & Tanks,26
CLO-MA-12882759,Polo Ralph Lauren sport capsule front logo T-shirt classic fit in mid green,clothing,T-Shirts & Tanks,65
CLO-MA-12882755,Polo Ralph Lauren icon logo T-shirt custom fit in washed red,clothing,T-Shirts & Tanks,55
CLO-MA-12894370,ASOS DESIGN premium T-shirt with crew neck in washed khaki,clothing,T-Shirts & Tanks,20
CLO-MA-12576852,ASOS DESIGN muscle t-shirt with crew neck in navy,clothing,T-Shirts & Tanks,11.5
CLO-MA-12576853,ASOS DESIGN muscle T-shirt with crew neck in light gray,clothing,T-Shirts & Tanks,11.5
CLO-MA-12576856,ASOS Design relaxed fit t-shirt in dark red,clothing,T-Shirts & Tanks,14.5
CLO-MA-12665672,ASOS DESIGN 3 pack oversized t-shirt with crew neck in multi,clothing,T-Shirts & Tanks,39
CLO-MA-12126042,Parlez castara backprint T-shirt in white,clothing,T-Shirts & Tanks,49
CLO-MA-12151896,Lyle & Scott Archive oversized fit T-shirt in pink,clothing,T-Shirts & Tanks,52
CLO-MA-12416341,Polo Ralph Lauren icon logo hooded long sleeve top in white,clothing,T-Shirts & Tanks,70
CLO-MA-12461349,ASOS Dark Future oversized t-shirt with logo back print in black - part of a set,clothing,T-Shirts & Tanks,20
CLO-MA-12562914,"Topman 3 pack classic fit t-shirt in ecru, burgundy and dark green",clothing,T-Shirts & Tanks,41
CLO-MA-12564619,ASOS DESIGN oversized midweight knitted cotton t-shirt in black,clothing,T-Shirts & Tanks,29
CLO-MA-12576858,ASOS DESIGN t-shirt with roll sleeve in blue,clothing,T-Shirts & Tanks,11.5
CLO-MA-12576852,ASOS DESIGN muscle t-shirt with crew neck in dark red,clothing,T-Shirts & Tanks,11.5
CLO-MA-12576852,ASOS DESIGN muscle t-shirt with crew neck in cream,clothing,T-Shirts & Tanks,11.5
CLO-MA-12576852,ASOS DESIGN muscle T-shirt with crew neck in brown,clothing,T-Shirts & Tanks,11.5
CLO-MA-12576853,ASOS DESIGN muscle T-shirt with crew neck in charcoal heather,clothing,T-Shirts & Tanks,11.5
CLO-MA-12576853,ASOS DESIGN muscle t-shirt with crew neck in gray blue,clothing,T-Shirts & Tanks,11.5
CLO-MA-12576857,ASOS DESIGN tank top with crew neck in washed black,clothing,T-Shirts & Tanks,11.5
CLO-MA-12576857,ASOS DESIGN tank top with crew neck in dark red,clothing,T-Shirts & Tanks,11.5
CLO-MA-12576857,ASOS DESIGN relaxed fit T-shirt in lilac,clothing,T-Shirts & Tanks,14.5
CLO-MA-12576930,ASOS DESIGN 10 pack muscle T-shirt with crew neck in multi,clothing,T-Shirts & Tanks,103
CLO-MA-12576855,ASOS DESIGN muscle fit rib vest in white,clothing,T-Shirts & Tanks,17.5
CLO-MA-12576855,ASOS DESIGN muscle fit rib vest in black,clothing,T-Shirts & Tanks,17.5
CLO-MA-12576856,ASOS Design muscle fit rib t-shirt in white,clothing,T-Shirts & Tanks,17.5
CLO-MA-12576856,ASOS DESIGN muscle fit rib t-shirt in black,clothing,T-Shirts & Tanks,17.5
CLO-MA-12576856,ASOS DESIGN relaxed fit t-shirt in khaki,clothing,T-Shirts & Tanks,14.5
CLO-MA-12580466,ASOS DESIGN 2 pack oversized t-shirt with crew neck in multi,clothing,T-Shirts & Tanks,26
CLO-MA-12580466,ASOS DESIGN 2 pack oversized t-shirt with crew neck in multi,clothing,T-Shirts & Tanks,26
CLO-MA-12580466,ASOS DESIGN 3 pack oversized t-shirt in multi,clothing,T-Shirts & Tanks,39
CLO-MA-12580605,ASOS DESIGN 3 pack oversized t-shirt in multi,clothing,T-Shirts & Tanks,39
CLO-MA-12644990,ASOS DESIGN knit T-shirt in all-over vintage print,clothing,T-Shirts & Tanks,46
CLO-MA-12662352,ASOS DESIGN 2-pack extreme racer back tank tops in stone and brown,clothing,T-Shirts & Tanks,20
CLO-MA-12665672,ASOS DESIGN 3 pack t-shirt with crew neck in multi,clothing,T-Shirts & Tanks,32
CLO-MA-12665672,ASOS DESIGN vest with extreme racer back in green,clothing,T-Shirts & Tanks,11.5
CLO-MA-12665672,ASOS DESIGN 5 pack t-shirt with crew neck in multi,clothing,T-Shirts & Tanks,52
CLO-MA-12665708,ASOS DESIGN knitted metallic mesh short in pink - part of a set,clothing,T-Shirts & Tanks,37
CLO-MA-12665708,ASOS DESIGN knitted metallic mesh rainbow tank top - part of a set,clothing,T-Shirts & Tanks,35
CLO-MA-12882754,Polo Ralph Lauren icon logo T-shirt custom fit in blue heather,clothing,T-Shirts & Tanks,55
CLO-MA-12882756,Polo Ralph Lauren logo front T-shirt custom fit in mid green,clothing,T-Shirts & Tanks,65
CLO-MA-12882754,Polo Ralph Lauren icon logo T-shirt custom fit in coastal beige,clothing,T-Shirts & Tanks,55
CLO-MA-12882757,Polo Ralph Lauren multi logo oversized fit T-shirt in navy,clothing,T-Shirts & Tanks,65
CLO-MA-12882757,Polo Ralph Lauren center icon logo T-shirt custom fit in gray,clothing,T-Shirts & Tanks,59.5
CLO-MA-12556047,New Look tapered smart pants in stone,clothing,Pants & Chinos,52
CLO-MA-11602910,Bolongaro Trevor skinny fit cargo cuffed pants in black,clothing,Pants & Chinos,42
CLO-MA-12612917,ASOS DESIGN extreme wide leg wool mix smart pants in brown,clothing,Pants & Chinos,60
CLO-MA-12612917,ASOS DESIGN extreme wide leg wool mix smart pants in charcoal,clothing,Pants & Chinos,60
CLO-MA-12699079,ASOS DESIGN pleated chinos in khaki,clothing,Pants & Chinos,36
CLO-MA-12699079,ASOS DESIGN 2-pack slim chinos in beige and khaki,clothing,Pants & Chinos,64
CLO-MA-12813954,ASOS DESIGN super skinny suit pants in linen mix puppytooth check in pink,clothing,Pants & Chinos,50
CLO-MA-12894125,Weekday Mats baggy cargo pants in beige,clothing,Pants & Chinos,98
CLO-MA-11600061,adidas Originals Pride overalls in black with Love Unites print,clothing,Pants & Chinos,120
CLO-MA-11899871,COLLUSION bleach butterfly pattern y2k pants - part of a set,clothing,Pants & Chinos,51.9
CLO-MA-12327339,Selected Homme slim fit suit pants in light gray,clothing,Pants & Chinos,116.5
CLO-MA-12699078,ASOS DESIGN slim chinos in light gray,clothing,Pants & Chinos,36
CLO-MA-12699079,ASOS DESIGN wide fit chinos in beige,clothing,Pants & Chinos,36
CLO-MA-12728457,Pull&Bear 2 pack cargo pants in black,clothing,Pants & Chinos,89.9
CLO-MA-12732057,ASOS DESIGN skinny fit chinos in dark khaki,clothing,Pants & Chinos,36
CLO-MA-12051973,ASOS DESIGN super skinny smart pants in black,clothing,Pants & Chinos,36
CLO-MA-12109970,ASOS DESIGN slim dressy pants in navy,clothing,Pants & Chinos,36
CLO-MA-12266334,ASOS DESIGN super skinny tux pants in black,clothing,Pants & Chinos,43
CLO-MA-12590079,COLLUSION puddle smart tailored pants in charcoal,clothing,Pants & Chinos,55.9
CLO-MA-12607887,Selected Homme skinny fit tuxedo pants in pink,clothing,Pants & Chinos,117
CLO-MA-11605225,Selected Homme slim fit smart pants in navy,clothing,Pants & Chinos,66
CLO-MA-11616436,Topman skinny check suit pants in black and white,clothing,Pants & Chinos,74
CLO-MA-12087882,G-Star Worker relaxed fit chinos in navy,clothing,Pants & Chinos,130
CLO-MA-12556461,COLLUSION straight pants with cut out detail in black - part of a set,clothing,Pants & Chinos,59.9
CLO-MA-12849360,New Look carpenter pants in camel,clothing,Pants & Chinos,65
CLO-MA-12219856,Bolongaro Trevor tie in navy floral print,clothing,Pants & Chinos,20
CLO-MA-12266967,Gramicci gadget pants in beige,clothing,Pants & Chinos,154
