product,tweet_poster,tweet_mention,tweet_date,tweet_text,num_comments,num_retweets,num_likes,num_views,,,
Bush Somerset Collection Bookcase,Salvador Galvan,@sg195760,"Mar 5, 2018","Bush WC81465 Bookcase Maple Cross Somerset Collection, Two fixed shelves for cabinet strength, Three adjustable shelves for storage versatility",0,0,1,0,,,
Bush Somerset Collection Bookcase,rapidsuccesspartners,@rapidsuccessnow,"Mar 11, 2010",Tech Deals Bush Furniture Bush Somerset Collection Bookcase $129.99 Free Shipping at Staples: http://url4.eu/1klPf,0,0,0,0,,,
Bush Somerset Collection Bookcase,Fresh Deals,@FindFreshDeals,"Mar 11, 2010",Tech Deals  Bush Furniture Bush Somerset Collection Bookcase $129.99 Free Shipping at Staples http://url4.eu/1klPV,0,0,0,0,,,
Newell 322,Cleber Henrique L. de Souza,@CleberHLdeSouza,"Oct 16, 2020","In 2018, I took a photo with 322 amid several genotypes because I believed in its potential. Nowadays, we have UF Newell (variety 322). Thank you, Esteban, and all the team for the oportunity to develop together this bermudagrass cultivar.",1,0,18,0,,,
Newell 322,C.H.E. Rosario Central,@CHERCoficial,Jan 14,"#CHERCpresencias Edgardo BauzaPuesto: DefensorDebut oficial: 11-1-1978, vs. Quilmes 4-0 (L)Último partido oficial: 8-3-1992, vs. Newell's 0-1 (V)Partidos jugados: 322Goles: 82Etapas: 1977-82, 1986-89, 1992Títulos: Nacional 1980, Primera División 1986-87",0,6,55,4674,,,
Newell 322,Forage Breeding and Genetics,@ForageBreeding,"Oct 13, 2020","First cultivar released  Thanks too all lab members, collaborators and support from @UF_IFAS @UFIFASAgronomy @FloridaMilk and @FLCattlemen Planting material for Newell Bermudagrass (Entry 322) will be available in Spring 2021 in Gainesville, FL.",12,19,92,0,,,
Newell 322,Carlos Durhand,@carlosdurhand,"May 26, 2020","Al 25/05/2020, Rosario Central está arriba en el HISTORIAL OFICIAL ante Newell's desde hace 24.697 DÍAS (desde 12/10/1952)Desde el primer clásico (18/06/1905 NOB 1-0) estuvieron arriba en el historialRC: 28.915 días (68 %)NOB: 9.742 días (23 %)Empate: 3.322 días (9 %)",16,87,247,0,,,
Newell 322,Seasons Gala,@SeasonsGala,"Oct 19, 2022","Newell Rare Blue 322-5, Graphite, no box, Made in the USA... https://ebay.com/itm/165723269585?mkcid=1&mkrid=711-53200-19255-0&siteid=0&campid=5338910785&customid=&toolid=10001&mkevt=1…",0,0,0,0,,,
Mitel 5320 IP Phone VoIP phone,Charles D. Levine - USA,@kowihwgdke,"Oct 10, 2018",New on eBay US :  Mitel 5320 IP Office Phone VoIP Business Phone Desktop Phone Lot of 3 http://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10039&campid=5338367613&item=283202801430&vectorid=229466&lgeo=1…,0,0,0,0,,,
Mitel 5320 IP Phone VoIP phone,William L. Compton - USA,@kuhygvmutfg,"Oct 6, 2018",Just saw this on eBay :  Mitel 5320 IP Phone 50006191 Dual Mode VOIP REDUCED PRICE http://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10039&campid=5338367613&item=172111229769&vectorid=229466&lgeo=1…,0,0,0,0,,,
Mitel 5320 IP Phone VoIP phone,Gary J. Schroeder - USA,@wifrifjhruf,"Oct 2, 2018",Check out what I found on eBay :  Mitel 5320 IP Phone 50006191 Dual Mode VOIP REDUCED PRICE http://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10039&campid=5338367613&item=172111229769&vectorid=229466&lgeo=1…,0,0,0,0,,,
Mitel 5320 IP Phone VoIP phone,#shoppingwithsandy,@sandysgingham,"Feb 23, 2017",Mitel 5320 IP VoIP #Telephone Phone Black (50006191) - NEW | eBay http://ebay.to/2lHcP4V,0,0,0,0,,,
Mitel 5320 IP Phone VoIP phone,Smart eBookShop,@SmarteBookShop,"Aug 16, 2014",MITEL 5320 50006191 DUAL MODE IP VOIP INTERNET SIP BUSINESS TELEPHONE PHONE - http://tinyurl.com/n6z7put,0,0,0,0,,,
Mitel 5320 IP Phone VoIP phone,Moses Akinmuyiwa,@akmosol64,"Aug 16, 2014",MITEL 5320 50006191 DUAL MODE IP VOIP INTERNET SIP BUSINESS TELEPHONE PHONE - http://tinyurl.com/n6z7put,0,0,0,0,,,
Konftel 250 Conference phone - Charcoal black,mobiledealsuk,@mobiledealuk,"Aug 12, 2010",New blog post: Konftel 250 - Conference phone - charcoal black http://bit.ly/a9DAht,0,0,0,0,,,
Konftel 250 Conference phone - Charcoal black,Electronic Deals,@e_bargains,"Oct 16, 2014",Konftel 250 Conference Phone - Charcoal Black - Corded - 1 x Phone Line 910101065 - p Konftel 250 is an... http://c69.co/109298760 #ad,0,0,0,0,,,
Xerox 1967,Hell is Empty,@Sleestak,"Jun 25, 2022","Xerox, 1967",1,0,2,0,,,
Xerox 1967,An Artist Is,@anartistis,Mar 20,"Barbara T. Smith | Xerox, Coffin, Die-Cut, Rick | 1966–1967 #art https://getty.edu/news/the-xerox-machine-in-the-dining-room/…",0,0,0,14,,,
Xerox 1967,Reader Updated,@readerupdated,Mar 2,Xerox Sigma V was produced since 1967. Its initial memory size was… 16K https://buff.ly/3u51P13,0,0,0,6,,,
Xerox 1967,Mitchell Lin,@shodowa,"Apr 2, 2012",STAR TREK 8211 THE IMMUNITY SYNDROME 8211 xerox final draft shooting script 1967 8211 Sabaroff Robert ebook error: either unsupported url or,0,0,0,0,,,
Xerox 1967,Curmudgeon,@huzzahs4me2,"Aug 31, 2019",A copier salesman sitting next to me asked me what the best copier I used was.... I told him the Xerox 660 circa 1967.,0,0,0,0,,,
Xerox 1967,MEMORIAL SEPTEMBER11,@911VICTIMS,"Sep 12, 2011","He joined Xerox in 1967,began in the sales training department and became a senior executive manager in Boston.",0,0,0,0,,,
Xerox 1967,matt,@no1nomore,"Apr 27, 2011","#fact the basic layout for a tablet pc comes from the dynabook, developed in 1967 at xerox's PARC location.",0,0,0,0,,,
Xerox 1967,Jenifer Ducky Wetle,@lucky_ducky101,"Mar 26, 2020","company 's mainframe computer. He worked for two years, from 1967 to 1969, modifying a Xerox copier, replacing its photographic machinery with a mirrored eight-sided drum and a laser. The laser's light bounced off the spinning drum. Starkweather had invented what he called the",1,0,0,0,,,
Xerox 1967,Stef Verf,@StefVerf,"Aug 19, 2010",Replying to @PeterMEvers,0,0,0,0,,,
Xerox 1967,Davis Emerson,@highrunnef,"Apr 2, 2012","STAR TREK 8211 THE IMMUNITY SYNDROME 8211 xerox final draft shooting script 1967 8211 Sabaroff Robert ebook Error: Sorry, the URL you entere",0,0,0,0,,,
Xerox 1967,AngieSam Oseguera,@kimioj,"Dec 11, 2011","STAR TREK 8211 THE IMMUNITY SYNDROME 8211 xerox final draft shooting script 1967 8211 Sabaroff Robert ebook <html><head><meta http-equiv=""Co",0,0,0,0,,,
Fellowes Super Stor/Drawer,Edward Morra,@EdwardMorras,"Dec 16, 2012",Fellowes 00372 Bankers Box Super Stor/Drawer - Legal - 6 Pack http://amzn.to/sHyQSi,0,0,0,0,,,
Fellowes Super Stor/Drawer,Ads,@onlyads,"Mar 8, 2013","Fellowes 00371 Super Stor/Drawer Ltr 12-3/4""x23""x10-1/2"" 6/CT Black/White http://c69.co/12292502",0,0,0,0,,,
Newell 341,UAIS Croc House,@CrocHouse,"Dec 22, 2015",Hey guys! Just Dance is now in 351/352 (señora buraks room)!!!!! Team building is in 341/342 (Newell's and McNair's rooms),1,1,0,0,,,
Newell 341,Santi Corei,@santi_corei,"Jan 13, 2022",Sigue la lista al top ten con: Talleres 361.000 @CATalleresdecba  Racing 357.800 @RacingClub  Gimnasia LP  346.700 @gimnasiaoficial Newell´s 341.300 @Newells  Rosario Central 310.800 @RosarioCentral son estos los equipos por arriba de los trescientos mil (sigue),1,2,11,0,,,
Newell 341,Beaver Athletics,@BASD_Athletics,Jan 29,"5th - Jackson Hagler, Fox Chapel, 399.206th - Ryan Hartle, Northgate, 387.557th - Grant Newell, South Park, 341.208th - Caleb Gnoth, West Allegheny, 340.80",0,0,0,178,,,
Newell 341,UAIS,@UAIS_Phoenix,"Nov 5, 2021",Wear your house colors at tomorrows meeting! 7:15-7:45-Tiger: Newell's/Mcnair's rooms (340/341)-Owl: Khan's/art room (217)-Shark: Kuhlman's/theatre room (142)-Wolf: Science lecture room (361)-Croc: Media Center-Fox: Hume's/Senora's rooms (351/352),0,0,1,0,,,
Newell 341,Lil cash register,@newell_zak,"Oct 11, 2015",RT   ghimiresantosh3: CPN-UML Chairman is likely to garner 341 votes securing his win.,0,0,0,0,,,
Newell 341,Fede,@Frodriguezlepra,"May 3, 2022","Vos tocaste fondo, que agredis a la gente de Newell's +54 9 341 614-0861",1,0,1,0,,,
Newell 341,FutbolConCancha,@futbolconcancha,Mar 28,Las consignas del @futbolconcancha de hoy: NEWELL'S: ¿Qué opinás del grupo que le tocó en la Sudamericana? CENTRAL: ¿Qué opinás sobre la contratación de Mariano Cúneo Libarona como abogado del club?TW: @futbolconcancha IG: @futbolconcanchatvWHATSAPP: 341 7 56 40 58,0,1,0,55,,,
Newell 341,Lil cash register,@newell_zak,"Aug 31, 2015",RT xree16x: #MyWattysChoice is StormNSilence RobThier_EN #retweet to make it win! 12 HOURS TO GO #341 #TWEETSTORM,0,0,0,0,,,
Cisco SPA 501G IP Phone,Shop Deals™,@Shop_Deals,"Mar 11, 2011",Cisco SPA 501G 8-Line IP PhoneBuy new: $98.99 / Used from: $81.99 http://bit.ly/hbOBku,0,0,0,0,,,
Cisco SPA 501G IP Phone,Kelsey Prentice,@kelseyyuprentic,"Jan 17, 2012",Where Can I Purchase Cisco Ip Switch-Cisco SPA 501G 8-Line IP Phone Sale …http://ciscoipswitch.generalstoreitemslist.info/?p=11,0,0,0,0,,,
Cisco SPA 501G IP Phone,Kelsey Prentice,@kelseyyuprentic,"Jan 16, 2012",Price Compare Cisco Switch Poe-Cisco SPA 501G 8-Line IP Phone Now is the time http://ciscoswitchpoe.retailstoreitems.info/?p=12,0,0,0,0,,,
Cisco SPA 501G IP Phone,Wish List Daily,@WishListDaily,"Mar 23, 2012",Office Supplies Store: Cisco SPA 501G 8-Line IP Phone. - http://bit.ly/GIUebq @iPad3Sale #thenewipad @SkinBeautyTools @TopGuide2012,0,0,0,0,,,
Cisco SPA 501G IP Phone,Angela Desiree,@Deals_Bargain,"Mar 11, 2011",Cisco SPA 501G 8-Line IP PhoneBuy new: $98.99 / Used from: $81.99 http://bit.ly/hbOBku,0,0,0,0,,,
Cisco SPA 501G IP Phone,TweLeaks™,@TweLeaks,"Mar 11, 2011",Cisco SPA 501G 8-Line IP PhoneBuy new: $98.99 / Used from: $81.99 http://bit.ly/hbOBku,0,0,0,0,,,
Cisco SPA 501G IP Phone,Kitty CatXo,@livechaturbate,"Mar 11, 2011",Cisco SPA 501G 8-Line IP PhoneBuy new: $98.99 / Used from: $81.99 http://bit.ly/hbOBku,0,0,0,0,,,
Cisco SPA 501G IP Phone,Steve Bono,@TheNerds_Coupon,"Aug 7, 2010",TheNerds.Net Coupons $5.00 off Cisco SPA 501G IP Phone Old Price: $102.99  Now Only: $97.99  http://j.mp/bbyXRF,0,0,0,0,,,
Cisco SPA 501G IP Phone,Small Appliance,@elecsmappliance,"Sep 14, 2012",Cisco SPA 501G 8-Line IP Phone Guide http://voipdevices.starenergyappliances.com/cisco-spa-501g-8-line-ip-phone-guide/…,0,0,0,0,,,
Cisco SPA 501G IP Phone,Home Phones,@Home_Phones,"Nov 11, 2013",Cisco Bf9389 Spa 501G Ip Phone $126.73 http://bit.ly/16V5pgj #home #phone,0,0,0,0,,,
Cisco SPA 501G IP Phone,Computer Bargains,@compudah,"Nov 2, 2011",(Click to see discounted price) Cisco SPA 501G 8-Line IP Phone $98.99 http://c69.co/692050 #phone_accessories,0,0,0,0,,,
Cisco SPA 501G IP Phone,freshinfo,@freshinfo1,"Feb 14, 2011","Cisco SPA-501G IP Phone – 8 line: Cisco SPA 501G 8-Line IP Phone with 2-Port Switch, PoE and Paper Label (no d... http://twurl.nl/v08f7e",0,0,0,0,,,
Cisco SPA 501G IP Phone,Fresh Info,@freshinfo2,"Feb 14, 2011","Cisco SPA-501G IP Phone – 8 line: Cisco SPA 501G 8-Line IP Phone with 2-Port Switch, PoE and Paper Label (no d... http://twurl.nl/q2824j",0,0,0,0,,,
Cisco SPA 501G IP Phone,Antra Shuttleworth,@qalmatirobate,"May 26, 2012",Cisco SPA 501G 8-Line IP Phone-Store Sale: Full-featured 8-line business-class IP phone supporting Power over Et... http://bit.ly/KqTlqk,0,0,0,0,,,
Cisco SPA 501G IP Phone,Rockridge,@Burger1David,"Mar 22, 2014",Cisco SPA 501G 8 Line IP Phone PoE - $108.56: The Cisco SPA 501G IP Phone has been tested to… http://goo.gl/fb/3inJ1,0,0,0,0,,,
